qPCR,well,sample,type,IPC_Ct,inhibition_rate,hake_task,hake_Ct,hake_copies_ul
H5,A1,E05,gBlocks,28.562,2.366,STANDARD,20.427,100000
H5,A2,E05,gBlocks,28.211,2.016,STANDARD,20.108,100000
H5,A3,E05,gBlocks,28.422,2.227,STANDARD,20.199,100000
H5,B1,E04,gBlocks,26.267,0.071,STANDARD,23.328,10000
H5,B2,E04,gBlocks,26.081,-0.115,STANDARD,23.289,10000
H5,B3,E04,gBlocks,25.989,-0.207,STANDARD,23.48,10000
H5,C1,E03,gBlocks,26.204,0.008,STANDARD,26.893,1000
H5,C2,E03,gBlocks,25.959,-0.237,STANDARD,26.746,1000
H5,C3,E03,gBlocks,26.047,-0.149,STANDARD,26.903,1000
H5,D1,E02,gBlocks,26.243,0.047,STANDARD,30.065,100
H5,D2,E02,gBlocks,26.227,0.031,STANDARD,30.322,100
H5,D3,E02,gBlocks,26.179,-0.017,STANDARD,30.293,100
H5,E2,E01,gBlocks,26.231,0.035,STANDARD,33.366,10
H5,E3,E01,gBlocks,26.272,0.076,STANDARD,34.558,10
H5,F1,E00,gBlocks,26.184,-0.012,STANDARD,34.602,1
H5,F2,E00,gBlocks,26.293,0.097,STANDARD,37.351,1
H5,F3,E00,gBlocks,26.271,0.075,STANDARD,37.148,1
H6,A1,E05,gBlocks,29.221,2.906,STANDARD,18.833,100000
H6,A2,E05,gBlocks,30.171,3.856,STANDARD,18.48,100000
H6,A3,E05,gBlocks,30.548,4.233,STANDARD,18.462,100000
H6,B1,E04,gBlocks,26.524,0.209,STANDARD,21.683,10000
H6,B2,E04,gBlocks,26.443,0.128,STANDARD,21.481,10000
H6,B3,E04,gBlocks,25.941,-0.374,STANDARD,21.615,10000
H6,C1,E03,gBlocks,26.258,-0.057,STANDARD,25.25,1000
H6,C2,E03,gBlocks,26.129,-0.186,STANDARD,24.981,1000
H6,C3,E03,gBlocks,25.994,-0.321,STANDARD,24.83,1000
H6,D1,E02,gBlocks,26.26,-0.055,STANDARD,28.36,100
H6,D2,E02,gBlocks,26.161,-0.154,STANDARD,27.964,100
H6,D3,E02,gBlocks,26.313,-0.003,STANDARD,28.006,100
H6,E1,E01,gBlocks,26.178,-0.137,STANDARD,31.54,10
H6,E2,E01,gBlocks,26.243,-0.073,STANDARD,31.273,10
H6,E3,E01,gBlocks,26.343,0.028,STANDARD,32.188,10
H6,F1,E00,gBlocks,26.228,-0.087,STANDARD,35.734,1
H6,F2,E00,gBlocks,26.376,0.061,STANDARD,33.94,1
H6,F3,E00,gBlocks,26.26,-0.055,STANDARD,36.456,1
H7,F1,E00,gBlocks,26.448,-0.166,STANDARD,34.209,1
H7,F3,E00,gBlocks,26.65,0.036,STANDARD,35.668,1
H7,E1,E01,gBlocks,26.586,-0.028,STANDARD,31.256,10
H7,E2,E01,gBlocks,26.565,-0.049,STANDARD,31.179,10
H7,E3,E01,gBlocks,26.695,0.081,STANDARD,31.598,10
H7,D1,E02,gBlocks,26.461,-0.153,STANDARD,28.218,100
H7,D2,E02,gBlocks,26.626,0.012,STANDARD,28.301,100
H7,D3,E02,gBlocks,26.656,0.042,STANDARD,28.486,100
H7,C1,E03,gBlocks,26.501,-0.113,STANDARD,25.22,1000
H7,C2,E03,gBlocks,26.41,-0.204,STANDARD,25.085,1000
H7,C3,E03,gBlocks,26.339,-0.275,STANDARD,25.281,1000
H7,B1,E04,gBlocks,27.113,0.499,STANDARD,21.696,10000
H7,B2,E04,gBlocks,26.708,0.094,STANDARD,21.691,10000
H7,B3,E04,gBlocks,26.667,0.053,STANDARD,21.787,10000
H7,A1,E05,gBlocks,30.789,4.175,STANDARD,18.875,100000
H7,A2,E05,gBlocks,31.123,4.509,STANDARD,18.555,100000
H7,A3,E05,gBlocks,31.314,4.7,STANDARD,18.699,100000
H8,A1,E05,gBlocks,29.611,3.257,STANDARD,20.39,100000
H8,A2,E05,gBlocks,30.529,4.176,STANDARD,20.014,100000
H8,A3,E05,gBlocks,29.31,2.957,STANDARD,20.153,100000
H8,B1,E04,gBlocks,26.44,0.087,STANDARD,23.357,10000
H8,B2,E04,gBlocks,26.618,0.265,STANDARD,23.307,10000
H8,B3,E04,gBlocks,26.111,-0.242,STANDARD,23.359,10000
H8,C1,E03,gBlocks,26.276,-0.077,STANDARD,26.857,1000
H8,C2,E03,gBlocks,26.231,-0.123,STANDARD,26.713,1000
H8,C3,E03,gBlocks,26.215,-0.139,STANDARD,26.717,1000
H8,D1,E02,gBlocks,26.338,-0.015,STANDARD,30.118,100
H8,D2,E02,gBlocks,26.384,0.031,STANDARD,29.908,100
H8,D3,E02,gBlocks,26.274,-0.079,STANDARD,30.005,100
H8,E1,E01,gBlocks,26.477,0.124,STANDARD,33.592,10
H8,E2,E01,gBlocks,26.361,0.008,STANDARD,32.848,10
H8,E3,E01,gBlocks,26.343,-0.011,STANDARD,32.981,10
H8,F1,5,gBlocks,26.392,0.039,STANDARD,33.412,5
H8,F2,5,gBlocks,26.392,0.039,STANDARD,34.227,5
H8,F3,5,gBlocks,26.437,0.084,STANDARD,33.797,5
H8,G1,E00,gBlocks,26.198,-0.155,STANDARD,Undetermined,1
H8,G2,E00,gBlocks,26.407,0.054,STANDARD,Undetermined,1
H8,G3,E00,gBlocks,26.48,0.127,UNKNOWN,37.348,0.427179337
H8,H1,E00,gBlocks,26.307,-0.046,STANDARD,35.357,1
H8,H2,E00,gBlocks,26.363,0.01,STANDARD,36.358,1
H8,H3,E00,gBlocks,26.351,-0.002,STANDARD,36.353,1
H9,A1,E05,gBlocks,29.456,2.771,STANDARD,20.463,100000
H9,A2,E05,gBlocks,30.064,3.378,STANDARD,20.198,100000
H9,A3,E05,gBlocks,29.331,2.646,STANDARD,20.459,100000
H9,B1,E04,gBlocks,26.805,0.12,STANDARD,23.419,10000
H9,B2,E04,gBlocks,26.694,0.009,STANDARD,23.57,10000
H9,B3,E04,gBlocks,26.407,-0.279,STANDARD,23.69,10000
H9,C1,E03,gBlocks,26.425,-0.26,STANDARD,27.067,1000
H9,C2,E03,gBlocks,26.554,-0.131,STANDARD,27.061,1000
H9,C3,E03,gBlocks,26.529,-0.157,STANDARD,27.165,1000
H9,D1,E02,gBlocks,26.684,-0.001,STANDARD,30.234,100
H9,D2,E02,gBlocks,26.837,0.152,STANDARD,30.244,100
H9,D3,E02,gBlocks,26.599,-0.086,STANDARD,30.135,100
H9,E1,E01,gBlocks,26.588,-0.097,STANDARD,33.826,10
H9,E2,E01,gBlocks,26.691,0.006,STANDARD,32.945,10
H9,E3,E01,gBlocks,26.778,0.092,UNKNOWN,35.401,2.478692532
H9,F1,5,gBlocks,26.649,-0.036,STANDARD,34.022,5
H9,F2,5,gBlocks,26.654,-0.031,STANDARD,35.48,5
H9,F3,5,gBlocks,26.655,-0.031,STANDARD,36.112,5
H9,G1,E00,gBlocks,26.761,0.076,STANDARD,35.973,1
H9,G2,E00,gBlocks,26.642,-0.043,STANDARD,Undetermined,1
H9,G3,E00,gBlocks,26.735,0.05,STANDARD,36.741,1
H9,H1,E00,gBlocks,26.666,-0.02,STANDARD,35.93,1
H9,H2,E00,gBlocks,26.609,-0.076,STANDARD,35.853,1
H9,H3,E00,gBlocks,26.595,-0.09,STANDARD,36.821,1
H10,A1,E05,gBlocks,29.542,3.008,STANDARD,19.423,100000
H10,A2,E05,gBlocks,30.443,3.909,STANDARD,18.981,100000
H10,A3,E05,gBlocks,30.142,3.608,STANDARD,19.105,100000
H10,B1,E04,gBlocks,26.733,0.199,STANDARD,22.279,10000
H10,B2,E04,gBlocks,26.734,0.2,STANDARD,22.279,10000
H10,B3,E04,gBlocks,26.675,0.141,STANDARD,22.198,10000
H10,C1,E03,gBlocks,26.395,-0.14,STANDARD,25.634,1000
H10,C2,E03,gBlocks,26.309,-0.226,STANDARD,25.617,1000
H10,C3,E03,gBlocks,26.235,-0.299,STANDARD,25.547,1000
H10,D1,E02,gBlocks,26.422,-0.113,STANDARD,28.581,100
H10,D2,E02,gBlocks,26.513,-0.021,STANDARD,28.744,100
H10,D3,E02,gBlocks,26.429,-0.106,STANDARD,28.709,100
H10,E1,E01,gBlocks,26.418,-0.116,STANDARD,32.277,10
H10,E2,E01,gBlocks,26.46,-0.075,STANDARD,32.063,10
H10,E3,E01,gBlocks,26.796,0.261,STANDARD,32.281,10
H10,F1,5,gBlocks,26.362,-0.172,STANDARD,32.976,5
H10,F2,5,gBlocks,26.904,0.369,STANDARD,33.24,5
H10,F3,5,gBlocks,26.532,-0.003,STANDARD,33.41,5
H10,G1,E00,gBlocks,26.549,0.014,STANDARD,34.704,1
H10,G2,E00,gBlocks,26.837,0.302,STANDARD,37.464,1
H10,G3,E00,gBlocks,26.533,-0.001,STANDARD,35.542,1
H10,H1,E00,gBlocks,26.471,-0.063,STANDARD,34.077,1
H10,H2,E00,gBlocks,26.386,-0.149,STANDARD,36.095,1
H10,H3,E00,gBlocks,26.768,0.234,STANDARD,35.896,1
H11,A1,E05,gBlocks,28.79,2.659,STANDARD,19.745,100000
H11,A2,E05,gBlocks,29.137,3.006,STANDARD,19.505,100000
H11,A3,E05,gBlocks,28.286,2.155,STANDARD,19.723,100000
H11,B1,E04,gBlocks,26.44,0.309,STANDARD,22.898,10000
H11,B2,E04,gBlocks,26.214,0.083,STANDARD,22.912,10000
H11,B3,E04,gBlocks,26.175,0.044,STANDARD,23.045,10000
H11,C1,E03,gBlocks,26.212,0.081,STANDARD,26.014,1000
H11,C2,E03,gBlocks,26.242,0.111,STANDARD,25.998,1000
H11,C3,E03,gBlocks,26.151,0.02,STANDARD,25.944,1000
H11,D1,E02,gBlocks,26.38,0.249,STANDARD,28.943,100
H11,D2,E02,gBlocks,26.391,0.26,STANDARD,28.948,100
H11,D3,E02,gBlocks,26.378,0.247,STANDARD,28.863,100
H11,E1,E01,gBlocks,26.282,0.151,STANDARD,32.091,10
H11,E2,E01,gBlocks,26.422,0.291,STANDARD,31.946,10
H11,E3,E01,gBlocks,26.361,0.23,STANDARD,32.777,10
H11,F1,5,gBlocks,26.354,0.223,STANDARD,32.903,5
H11,F2,5,gBlocks,26.392,0.261,STANDARD,33.282,5
H11,F3,5,gBlocks,26.313,0.182,STANDARD,33.427,5
H11,G1,E00,gBlocks,26.47,0.339,STANDARD,35.745,1
H11,G2,E00,gBlocks,26.3,0.169,STANDARD,35.319,1
H11,G3,E00,gBlocks,26.483,0.352,STANDARD,34.597,1
H11,H1,E00,gBlocks,26.31,0.179,STANDARD,35.831,1
H11,H2,E00,gBlocks,26.454,0.323,STANDARD,Undetermined,1
H11,H3,E00,gBlocks,26.351,0.22,STANDARD,Undetermined,1
H12,A1,E05,gBlocks,30.966,4.706,STANDARD,19.853,100000
H12,A2,E05,gBlocks,31.726,5.466,STANDARD,19.637,100000
H12,A3,E05,gBlocks,30.508,4.248,STANDARD,19.801,100000
H12,B1,E04,gBlocks,26.605,0.345,STANDARD,22.94,10000
H12,B2,E04,gBlocks,26.658,0.398,STANDARD,22.923,10000
H12,B3,E04,gBlocks,26.406,0.146,STANDARD,23.016,10000
H12,C1,E03,gBlocks,26.336,0.076,STANDARD,26.197,1000
H12,C2,E03,gBlocks,26.21,-0.05,STANDARD,26.178,1000
H12,C3,E03,gBlocks,26.149,-0.111,STANDARD,26.148,1000
H12,D1,E02,gBlocks,26.343,0.083,STANDARD,29.432,100
H12,D2,E02,gBlocks,26.337,0.077,STANDARD,29.39,100
H12,D3,E02,gBlocks,26.416,0.156,STANDARD,29.416,100
H12,E1,E01,gBlocks,26.358,0.098,STANDARD,32.523,10
H12,E2,E01,gBlocks,26.428,0.168,STANDARD,32.409,10
H12,E3,E01,gBlocks,26.394,0.134,STANDARD,33.326,10
H12,F1,5,gBlocks,26.329,0.069,STANDARD,33.665,5
H12,F2,5,gBlocks,26.449,0.189,STANDARD,33.102,5
H12,F3,5,gBlocks,26.315,0.055,STANDARD,33.134,5
H12,G1,E00,gBlocks,26.431,0.171,STANDARD,35.384,1
H12,G2,E00,gBlocks,26.424,0.165,STANDARD,34.928,1
H12,G3,E00,gBlocks,26.344,0.084,STANDARD,36.724,1
H12,H1,E00,gBlocks,26.327,0.067,STANDARD,34.829,1
H12,H2,E00,gBlocks,26.471,0.211,STANDARD,35.952,1
H12,H3,E00,gBlocks,26.479,0.219,STANDARD,36.895,1
H13,A1,E05,gBlocks,29.249,3.129,STANDARD,19.632,100000
H13,A2,E05,gBlocks,30.838,4.718,STANDARD,19.441,100000
H13,A3,E05,gBlocks,29.91,3.79,STANDARD,19.5,100000
H13,B1,E04,gBlocks,26.338,0.218,STANDARD,22.752,10000
H13,B2,E04,gBlocks,26.245,0.124,STANDARD,22.716,10000
H13,B3,E04,gBlocks,26.081,-0.04,STANDARD,22.778,10000
H13,C1,E03,gBlocks,25.932,-0.188,STANDARD,26.016,1000
H13,C2,E03,gBlocks,26.029,-0.091,STANDARD,25.99,1000
H13,C3,E03,gBlocks,26.048,-0.072,STANDARD,26.108,1000
H13,D1,E02,gBlocks,26.264,0.144,STANDARD,29.142,100
H13,D2,E02,gBlocks,26.07,-0.051,STANDARD,29.234,100
H13,D3,E02,gBlocks,26.142,0.021,STANDARD,29.238,100
H13,E1,E01,gBlocks,26.181,0.061,STANDARD,32.256,10
H13,E2,E01,gBlocks,26.07,-0.05,STANDARD,31.954,10
H13,E3,E01,gBlocks,26.225,0.104,STANDARD,32.788,10
H13,F1,5,gBlocks,26.426,0.305,STANDARD,34.031,5
H13,F2,5,gBlocks,26.111,-0.01,STANDARD,33.311,5
H13,F3,5,gBlocks,26.167,0.046,STANDARD,33.209,5
H13,G1,E00,gBlocks,26.095,-0.025,STANDARD,35.812,1
H13,G2,E00,gBlocks,26.066,-0.054,STANDARD,35.027,1
H13,G3,E00,gBlocks,26.248,0.128,STANDARD,36.367,1
H13,H1,E00,gBlocks,26.172,0.051,STANDARD,35.54,1
H13,H2,E00,gBlocks,26.107,-0.013,STANDARD,35.396,1
H13,H3,E00,gBlocks,26.183,0.063,STANDARD,34.794,1
H14,A1,E05,gBlocks,28.435,2.104,STANDARD,19.245,100000
H14,A2,E05,gBlocks,29.879,3.549,STANDARD,19.104,100000
H14,A3,E05,gBlocks,29.17,2.84,STANDARD,19.201,100000
H14,B1,E04,gBlocks,26.726,0.396,STANDARD,22.508,10000
H14,B2,E04,gBlocks,26.177,-0.153,STANDARD,22.425,10000
H14,B3,E04,gBlocks,25.932,-0.399,STANDARD,22.724,10000
H14,C1,E03,gBlocks,26.087,-0.243,STANDARD,25.69,1000
H14,C2,E03,gBlocks,26.081,-0.249,STANDARD,25.911,1000
H14,C3,E03,gBlocks,26.216,-0.114,STANDARD,26.03,1000
H14,D1,E02,gBlocks,26.415,0.085,STANDARD,29.211,100
H14,D2,E02,gBlocks,26.437,0.106,STANDARD,29.218,100
H14,D3,E02,gBlocks,26.446,0.116,STANDARD,29.47,100
H14,E1,E01,gBlocks,26.341,0.01,STANDARD,32.367,10
H14,E2,E01,gBlocks,26.45,0.12,STANDARD,32.552,10
H14,E3,E01,gBlocks,26.454,0.124,STANDARD,32.677,10
H14,F1,5,gBlocks,26.383,0.053,UNKNOWN,32.056,15.55328846
H14,F2,5,gBlocks,26.19,-0.141,STANDARD,33.671,5
H14,F3,5,gBlocks,26.378,0.047,STANDARD,33.865,5
H14,G1,E00,gBlocks,26.461,0.131,STANDARD,37.169,1
H14,G2,E00,gBlocks,26.257,-0.074,STANDARD,37.072,1
H14,G3,E00,gBlocks,26.429,0.098,STANDARD,35.842,1
H14,H1,E00,gBlocks,26.34,0.009,STANDARD,36.197,1
H14,H2,E00,gBlocks,26.358,0.028,STANDARD,34.632,1
H14,H3,E00,gBlocks,26.348,0.018,STANDARD,Undetermined,1
H15,A1,E05,gBlocks,30.512,4.056,STANDARD,19.776,100000
H15,A2,E05,gBlocks,30.195,3.739,STANDARD,19.652,100000
H15,A3,E05,gBlocks,29.961,3.505,STANDARD,19.785,100000
H15,B1,E04,gBlocks,26.516,0.059,STANDARD,23.004,10000
H15,B2,E04,gBlocks,26.356,-0.1,STANDARD,23.012,10000
H15,B3,E04,gBlocks,26.298,-0.158,STANDARD,23.149,10000
H15,C1,E03,gBlocks,26.321,-0.135,STANDARD,26.574,1000
H15,C2,E03,gBlocks,26.27,-0.186,STANDARD,26.521,1000
H15,C3,E03,gBlocks,26.126,-0.33,STANDARD,26.649,1000
H15,D1,E02,gBlocks,26.374,-0.082,STANDARD,29.782,100
H15,D2,E02,gBlocks,26.4,-0.056,STANDARD,29.85,100
H15,D3,E02,gBlocks,26.292,-0.164,STANDARD,29.628,100
H15,E1,E01,gBlocks,26.345,-0.112,STANDARD,32.892,10
H15,E2,E01,gBlocks,26.329,-0.127,STANDARD,33.533,10
H15,E3,E01,gBlocks,26.436,-0.02,STANDARD,34.701,10
H15,F1,5,gBlocks,26.227,-0.229,STANDARD,34.223,5
H15,F2,5,gBlocks,26.382,-0.074,STANDARD,33.695,5
H15,F3,5,gBlocks,26.368,-0.088,STANDARD,34.144,5
H15,G1,E00,gBlocks,26.348,-0.108,STANDARD,35.558,1
H15,G2,E00,gBlocks,26.402,-0.054,STANDARD,Undetermined,1
H15,G3,E00,gBlocks,26.486,0.03,STANDARD,35.396,1
H15,H1,E00,gBlocks,26.195,-0.261,STANDARD,37.633,1
H15,H2,E00,gBlocks,26.345,-0.111,STANDARD,36.563,1
H15,H3,E00,gBlocks,26.361,-0.095,STANDARD,36.581,1
H16,A1,E05,gBlocks,29.91,3.828,STANDARD,19.368,100000
H16,A2,E05,gBlocks,30.607,4.524,STANDARD,19.274,100000
H16,A3,E05,gBlocks,29.114,3.031,STANDARD,19.353,100000
H16,B1,E04,gBlocks,26.859,0.776,STANDARD,22.412,10000
H16,B2,E04,gBlocks,26.543,0.46,STANDARD,22.445,10000
H16,B3,E04,gBlocks,26.215,0.132,STANDARD,22.554,10000
H16,C1,E03,gBlocks,25.961,-0.121,STANDARD,25.835,1000
H16,C2,E03,gBlocks,26.011,-0.071,STANDARD,25.646,1000
H16,C3,E03,gBlocks,25.959,-0.124,STANDARD,25.803,1000
H16,D1,E02,gBlocks,26.049,-0.034,STANDARD,28.966,100
H16,D2,E02,gBlocks,26.194,0.112,STANDARD,29.068,100
H16,D3,E02,gBlocks,26.268,0.185,STANDARD,28.848,100
H16,E1,E01,gBlocks,26.127,0.044,STANDARD,32.629,10
H16,E2,E01,gBlocks,25.949,-0.133,STANDARD,32.482,10
H16,E3,E01,gBlocks,26.077,-0.005,STANDARD,32.52,10
H16,F1,5,gBlocks,25.956,-0.126,STANDARD,33.071,5
H16,F2,5,gBlocks,26.211,0.128,STANDARD,34.504,5
H16,F3,5,gBlocks,26.204,0.122,STANDARD,32.85,5
H16,G1,E00,gBlocks,26.087,0.004,STANDARD,34.994,1
H16,G2,E00,gBlocks,25.922,-0.161,STANDARD,34.794,1
