qPCR,well,sample,type,IPC_Ct,inhibition_rate,hake_task,hake_Ct,hake_copies_ul
H27,H3,E00,gBlocks,26.964,0.005,STANDARD,36.328,1
H28,A1,E05,gBlocks,29.978,3.569,STANDARD,19.528,100000
H28,A2,E05,gBlocks,29.938,3.529,STANDARD,19.213,100000
H28,A3,E05,gBlocks,29.981,3.572,STANDARD,19.341,100000
H28,B1,E04,gBlocks,26.9,0.491,STANDARD,22.498,10000
H28,B2,E04,gBlocks,26.696,0.287,STANDARD,22.479,10000
H28,B3,E04,gBlocks,26.219,-0.19,STANDARD,22.617,10000
H28,C1,E03,gBlocks,26.259,-0.15,STANDARD,25.833,1000
H28,C2,E03,gBlocks,26.175,-0.234,STANDARD,25.766,1000
H28,C3,E03,gBlocks,26.198,-0.21,STANDARD,25.936,1000
H28,D1,E02,gBlocks,26.286,-0.123,STANDARD,28.923,100
H28,D2,E02,gBlocks,26.317,-0.092,STANDARD,28.875,100
H28,D3,E02,gBlocks,26.274,-0.135,STANDARD,28.99,100
H28,E1,E01,gBlocks,26.24,-0.169,STANDARD,32.853,10
H28,E2,E01,gBlocks,26.246,-0.162,STANDARD,32.171,10
H28,E3,E01,gBlocks,26.344,-0.065,STANDARD,31.882,10
H28,F1,5,gBlocks,26.458,0.049,STANDARD,32.529,5
H28,F2,5,gBlocks,26.446,0.038,STANDARD,33.457,5
H28,F3,5,gBlocks,26.339,-0.07,STANDARD,33.48,5
H28,G1,E00,gBlocks,26.337,-0.071,STANDARD,35.438,1
H28,G2,E00,gBlocks,26.362,-0.047,STANDARD,36.967,1
H28,G3,E00,gBlocks,26.307,-0.102,STANDARD,36.894,1
H28,H1,E00,gBlocks,26.455,0.046,STANDARD,34.4,1
H28,H2,E00,gBlocks,26.417,0.008,STANDARD,36.417,1
H28,H3,E00,gBlocks,26.386,-0.023,STANDARD,Undetermined,1
H29,A1,E05,gBlocks,30.685,4.243,STANDARD,19.848,100000
H29,A2,E05,gBlocks,28.68,2.238,STANDARD,19.76,100000
H29,A3,E05,gBlocks,30.664,4.222,STANDARD,19.844,100000
H29,B1,E04,gBlocks,26.747,0.305,STANDARD,22.816,10000
H29,B2,E04,gBlocks,26.546,0.105,STANDARD,22.894,10000
H29,B3,E04,gBlocks,26.383,-0.059,STANDARD,22.972,10000
H29,C1,E03,gBlocks,26.421,-0.021,STANDARD,26.152,1000
H29,C2,E03,gBlocks,26.262,-0.179,STANDARD,26.144,1000
H29,C3,E03,gBlocks,26.35,-0.092,STANDARD,26.256,1000
H29,D1,E02,gBlocks,26.283,-0.159,STANDARD,29.389,100
H29,D2,E02,gBlocks,26.518,0.076,STANDARD,29.527,100
H29,D3,E02,gBlocks,26.403,-0.039,STANDARD,29.353,100
H29,E1,E01,gBlocks,26.273,-0.169,STANDARD,33.019,10
H29,E2,E01,gBlocks,26.324,-0.117,STANDARD,33.113,10
H29,E3,E01,gBlocks,26.335,-0.107,STANDARD,32.408,10
H29,F1,5,gBlocks,26.385,-0.057,STANDARD,33.41,5
H29,F2,5,gBlocks,26.515,0.073,STANDARD,34.13,5
H29,F3,5,gBlocks,26.457,0.015,STANDARD,33.553,5
H29,G1,E00,gBlocks,26.435,-0.007,STANDARD,Undetermined,1
H29,G2,E00,gBlocks,26.422,-0.02,STANDARD,35.726,1
H29,G3,E00,gBlocks,26.539,0.097,STANDARD,35.98,0.925766528
H29,H1,E00,gBlocks,26.413,-0.029,STANDARD,34.894,1
H29,H2,E00,gBlocks,26.458,0.016,STANDARD,36.629,1
H29,H3,E00,gBlocks,26.434,-0.008,STANDARD,35.276,1.531394005
H30,A1,E05,gBlocks,31.633,4.982,STANDARD,20.386,100000
H30,A2,E05,gBlocks,29.509,2.858,STANDARD,20.43,100000
H30,A3,E05,gBlocks,32.289,5.638,STANDARD,20.532,100000
H30,B1,E04,gBlocks,27.48,0.829,STANDARD,23.695,10000
H30,B2,E04,gBlocks,28.468,1.817,STANDARD,23.857,10000
H30,B3,E04,gBlocks,26.828,0.177,STANDARD,23.839,10000
H30,C1,E03,gBlocks,26.691,0.04,STANDARD,26.985,1000
H30,C2,E03,gBlocks,27.28,0.629,STANDARD,27.321,1000
H30,C3,E03,gBlocks,26.379,-0.272,STANDARD,26.934,1000
H30,D1,E02,gBlocks,27.106,0.455,STANDARD,30.523,100
H30,D2,E02,gBlocks,26.669,0.018,STANDARD,30.098,100
H30,D3,E02,gBlocks,26.635,-0.016,STANDARD,30.146,100
H30,E1,E01,gBlocks,26.681,0.03,STANDARD,34.352,10
H30,E2,E01,gBlocks,26.707,0.056,STANDARD,33.478,10
H30,E3,E01,gBlocks,26.79,0.139,STANDARD,34.55,10
H30,F1,5,gBlocks,26.767,0.116,STANDARD,34.509,5
H30,F2,5,gBlocks,26.769,0.118,STANDARD,33.54,5
H30,F3,5,gBlocks,26.667,0.016,STANDARD,34.377,5
H30,G1,E00,gBlocks,26.524,-0.128,STANDARD,36.38,1
H30,G2,E00,gBlocks,26.916,0.265,STANDARD,37.814,1
H30,G3,E00,gBlocks,27.008,0.357,STANDARD,36.79,1
H30,H1,E00,gBlocks,26.838,0.187,STANDARD,35.707,1
H30,H2,E00,gBlocks,26.754,0.103,STANDARD,36.14,1
H30,H3,E00,gBlocks,26.701,0.05,STANDARD,37.515,1
H32,A1,E05,gBlocks,31.433,4.693,STANDARD,20.959,100000
H32,A2,E05,gBlocks,30.992,4.252,STANDARD,20.737,100000
H32,A3,E05,gBlocks,30.988,4.248,STANDARD,20.827,100000
H32,B1,E04,gBlocks,27.162,0.422,STANDARD,24.081,10000
H32,B2,E04,gBlocks,26.617,-0.123,STANDARD,24.025,10000
H32,B3,E04,gBlocks,26.872,0.132,STANDARD,24.106,10000
H32,C1,E03,gBlocks,26.694,-0.046,STANDARD,27.534,1000
H32,C2,E03,gBlocks,26.566,-0.174,STANDARD,27.607,1000
H32,C3,E03,gBlocks,26.525,-0.215,STANDARD,27.359,1000
H32,D1,E02,gBlocks,26.757,0.017,STANDARD,30.865,100
H32,D2,E02,gBlocks,26.749,0.009,STANDARD,30.418,100
H32,D3,E02,gBlocks,26.857,0.117,STANDARD,31.099,100
H32,E1,E01,gBlocks,26.649,-0.091,STANDARD,33.86,10
H32,E2,E01,gBlocks,26.731,-0.009,STANDARD,33.661,10
H32,E3,E01,gBlocks,26.616,-0.124,STANDARD,33.847,10
H32,F1,5,gBlocks,26.757,0.017,STANDARD,34.971,5
H32,F2,5,gBlocks,26.882,0.142,STANDARD,35.503,5
H32,F3,5,gBlocks,26.757,0.017,STANDARD,35.17,5
H32,G1,E00,gBlocks,26.674,-0.066,STANDARD,35.847,1
H32,G2,E00,gBlocks,26.935,0.195,STANDARD,37.467,1
H32,G3,E00,gBlocks,26.711,-0.029,STANDARD,36.436,1
H32,H1,E00,gBlocks,26.771,0.031,STANDARD,36.325,1
H32,H2,E00,gBlocks,26.718,-0.022,STANDARD,35.755,1
H32,H3,E00,gBlocks,26.679,-0.061,STANDARD,36.61,1
H33,A1,E05,gBlocks,30.785,4.008,STANDARD,21.166,100000
H33,A2,E05,gBlocks,30.826,4.049,STANDARD,21.032,100000
H33,A3,E05,gBlocks,31.116,4.339,STANDARD,21.306,100000
H33,B1,E04,gBlocks,27.138,0.361,STANDARD,24.475,10000
H33,B2,E04,gBlocks,26.892,0.115,STANDARD,24.464,10000
H33,B3,E04,gBlocks,26.65,-0.127,STANDARD,24.614,10000
H33,C1,E03,gBlocks,26.755,-0.022,STANDARD,27.68,1000
H33,C2,E03,gBlocks,26.586,-0.191,STANDARD,27.659,1000
H33,C3,E03,gBlocks,26.654,-0.123,STANDARD,27.798,1000
H33,D1,E02,gBlocks,26.786,0.009,STANDARD,31.005,100
H33,D2,E02,gBlocks,26.829,0.052,STANDARD,31.304,100
H33,D3,E02,gBlocks,26.669,-0.108,STANDARD,31.028,100
H33,E1,E01,gBlocks,26.896,0.119,STANDARD,34.213,10
H33,E2,E01,gBlocks,26.806,0.029,STANDARD,34.602,10
H33,E3,E01,gBlocks,26.891,0.114,STANDARD,34.302,10
H33,F1,5,gBlocks,26.829,0.052,STANDARD,36.222,5
H33,F2,5,gBlocks,26.89,0.113,STANDARD,35.15,5
H33,F3,5,gBlocks,26.819,0.042,STANDARD,34.689,5
H33,G1,E00,gBlocks,26.799,0.022,STANDARD,35.591,1
H33,G2,E00,gBlocks,26.753,-0.024,STANDARD,36.696,1
H33,G3,E00,gBlocks,26.644,-0.133,STANDARD,36.748,1
H33,H1,E00,gBlocks,26.819,0.042,STANDARD,36.679,1
H33,H2,E00,gBlocks,26.86,0.083,STANDARD,Undetermined,1
H33,H3,E00,gBlocks,26.753,-0.024,STANDARD,36.559,1
H34,A1,E05,gBlocks,30.836,4.04,STANDARD,20.57,100000
H34,A2,E05,gBlocks,30.688,3.892,STANDARD,20.48,100000
H34,A3,E05,gBlocks,31.025,4.229,STANDARD,20.64,100000
H34,B1,E04,gBlocks,27.105,0.309,STANDARD,24.054,10000
H34,B2,E04,gBlocks,26.917,0.121,STANDARD,23.96,10000
H34,B3,E04,gBlocks,26.843,0.047,STANDARD,24.208,10000
H34,C1,E03,gBlocks,26.937,0.141,STANDARD,27.315,1000
H34,C2,E03,gBlocks,26.693,-0.103,STANDARD,26.99,1000
H34,C3,E03,gBlocks,26.64,-0.156,STANDARD,27.192,1000
H34,D1,E02,gBlocks,26.816,0.02,STANDARD,30.323,100
H34,D2,E02,gBlocks,26.793,-0.003,STANDARD,30.602,100
H34,D3,E02,gBlocks,26.859,0.063,STANDARD,30.76,100
H34,E1,E01,gBlocks,26.809,0.013,STANDARD,33.674,10
H34,E2,E01,gBlocks,26.836,0.04,STANDARD,33.554,10
H34,E3,E01,gBlocks,26.697,-0.099,STANDARD,34.42,10
H34,F1,5,gBlocks,26.826,0.03,STANDARD,35.41,5
H34,F2,5,gBlocks,26.78,-0.016,STANDARD,35.951,5
H34,F3,5,gBlocks,26.953,0.157,STANDARD,34.423,5
H34,G1,E00,gBlocks,26.851,0.055,STANDARD,36.864,1
H34,G2,E00,gBlocks,26.753,-0.043,STANDARD,Undetermined,1
H34,G3,E00,gBlocks,26.914,0.118,STANDARD,36.807,1
H34,H1,E00,gBlocks,26.871,0.075,STANDARD,35.969,1
H34,H2,E00,gBlocks,26.781,-0.015,STANDARD,37.43,1
H34,H3,E00,gBlocks,26.807,0.011,STANDARD,37.01,1
H35,A1,E05,gBlocks,29.153,2.566,STANDARD,20.835,100000
H35,A2,E05,gBlocks,29.234,2.647,STANDARD,20.55,100000
H35,A3,E05,gBlocks,29.486,2.899,STANDARD,20.868,100000
H35,B1,E04,gBlocks,26.797,0.21,STANDARD,23.779,10000
H35,B2,E04,gBlocks,26.429,-0.158,STANDARD,23.789,10000
H35,B3,E04,gBlocks,26.353,-0.234,STANDARD,23.844,10000
H35,C1,E03,gBlocks,26.49,-0.097,STANDARD,27.204,1000
H35,C2,E03,gBlocks,26.307,-0.28,STANDARD,27.117,1000
H35,C3,E03,gBlocks,26.126,-0.461,STANDARD,27.095,1000
H35,D1,E02,gBlocks,26.54,-0.047,STANDARD,30.354,100
H35,D2,E02,gBlocks,26.695,0.108,STANDARD,30.577,100
H35,D3,E02,gBlocks,26.479,-0.108,STANDARD,30.463,100
H35,E1,E01,gBlocks,26.504,-0.083,STANDARD,33.691,10
H35,E2,E01,gBlocks,26.619,0.032,STANDARD,34.006,10
H35,E3,E01,gBlocks,26.592,0.005,STANDARD,Undetermined,10
H35,F1,5,gBlocks,26.376,-0.211,STANDARD,34.555,5
H35,F2,5,gBlocks,26.511,-0.076,STANDARD,34.86,5
H35,F3,5,gBlocks,26.474,-0.113,STANDARD,34.645,5
H35,G1,E00,gBlocks,26.477,-0.11,STANDARD,35.432,1
H35,G2,E00,gBlocks,26.606,0.019,STANDARD,38.277,1
H35,G3,E00,gBlocks,26.582,-0.005,STANDARD,35.968,1
H35,H1,E00,gBlocks,26.473,-0.114,STANDARD,37.685,1
H35,H2,E00,gBlocks,26.411,-0.176,STANDARD,Undetermined,1
H35,H3,E00,gBlocks,26.498,-0.089,STANDARD,37.44,1
H36,A1,E05,gBlocks,29.267,2.502,STANDARD,22.411,100000
H36,A2,E05,gBlocks,28.605,1.84,STANDARD,22.464,100000
H36,A3,E05,gBlocks,28.675,1.91,STANDARD,22.855,100000
H36,B1,E04,gBlocks,26.781,0.016,STANDARD,25.438,10000
H36,B2,E04,gBlocks,26.578,-0.187,STANDARD,25.557,10000
H36,B3,E04,gBlocks,26.668,-0.097,STANDARD,25.804,10000
H36,C1,E03,gBlocks,26.713,-0.052,STANDARD,28.942,1000
H36,C2,E03,gBlocks,26.622,-0.143,STANDARD,28.802,1000
H36,C3,E03,gBlocks,26.669,-0.096,STANDARD,29.097,1000
H36,D1,E02,gBlocks,26.701,-0.064,STANDARD,31.899,100
H36,D2,E02,gBlocks,26.737,-0.028,STANDARD,32.155,100
H36,D3,E02,gBlocks,26.641,-0.124,STANDARD,32.131,100
H36,E1,E01,gBlocks,26.729,-0.036,STANDARD,35.231,10
H36,E2,E01,gBlocks,26.848,0.083,STANDARD,34.828,10
H36,E3,E01,gBlocks,26.654,-0.111,STANDARD,35.625,10
H36,F1,5,gBlocks,26.782,0.017,STANDARD,35.616,5
H36,F2,5,gBlocks,26.825,0.06,STANDARD,36.366,5
H36,F3,5,gBlocks,26.763,-0.002,STANDARD,36.077,5
H36,G1,E00,gBlocks,26.795,0.03,STANDARD,Undetermined,1
H36,G2,E00,gBlocks,26.767,0.002,STANDARD,Undetermined,1
H36,G3,E00,gBlocks,26.615,-0.15,STANDARD,38.797,1
H36,H1,E00,gBlocks,26.779,0.014,STANDARD,37.911,1
H36,H2,E00,gBlocks,26.752,-0.013,STANDARD,38.824,1
H36,H3,E00,gBlocks,26.682,-0.083,STANDARD,37.019,1
H37,A1,E05,gBlocks,29.675,3.217,STANDARD,20.709,100000
H37,A2,E05,gBlocks,29.4,2.942,STANDARD,20.54,100000
H37,A3,E05,gBlocks,29.337,2.879,STANDARD,20.693,100000
H37,B1,E04,gBlocks,26.639,0.181,STANDARD,23.633,10000
H37,B2,E04,gBlocks,26.469,0.011,STANDARD,23.736,10000
H37,B3,E04,gBlocks,26.344,-0.114,STANDARD,23.61,10000
H37,C1,E03,gBlocks,26.547,0.089,STANDARD,27.227,1000
H37,C2,E03,gBlocks,26.267,-0.191,STANDARD,27.044,1000
H37,C3,E03,gBlocks,26.277,-0.181,STANDARD,27.07,1000
H37,D1,E02,gBlocks,26.46,0.002,STANDARD,30.316,100
H37,D2,E02,gBlocks,26.454,-0.004,STANDARD,30.287,100
H37,D3,E02,gBlocks,26.498,0.04,STANDARD,30.248,100
H37,E1,E01,gBlocks,26.439,-0.019,STANDARD,33.96,10
H37,E2,E01,gBlocks,26.592,0.134,STANDARD,34.151,10
H37,E3,E01,gBlocks,26.618,0.16,STANDARD,33.849,10
H37,F1,5,gBlocks,26.532,0.074,STANDARD,34.008,5
H37,F2,5,gBlocks,26.495,0.037,UNKNOWN,37.029,0.703
H37,F3,5,gBlocks,26.497,0.039,STANDARD,35.83,5
H37,G1,E00,gBlocks,26.564,0.106,STANDARD,Undetermined,1
H37,G2,E00,gBlocks,26.492,0.034,STANDARD,35.748,1
H37,G3,E00,gBlocks,26.486,0.028,STANDARD,35.414,1
H37,H1,E00,gBlocks,26.481,0.023,STANDARD,35.716,1
H37,H2,E00,gBlocks,26.517,0.059,STANDARD,36.749,1
H37,H3,E00,gBlocks,26.441,-0.017,STANDARD,Undetermined,1
H38,A1,E05,gBlocks,28.467,1.993,STANDARD,21.445,100000
H38,A2,E05,gBlocks,27.773,1.299,STANDARD,21.219,100000
H38,A3,E05,gBlocks,28.743,2.269,STANDARD,20.947,100000
H38,B1,E04,gBlocks,26.378,-0.096,STANDARD,24.441,10000
H38,B2,E04,gBlocks,26.443,-0.031,STANDARD,24.461,10000
H38,B3,E04,gBlocks,26.479,0.005,STANDARD,24.052,10000
H38,C1,E03,gBlocks,26.563,0.089,STANDARD,27.809,1000
H38,C2,E03,gBlocks,26.46,-0.014,STANDARD,27.958,1000
H38,C3,E03,gBlocks,26.444,-0.03,STANDARD,27.52,1000
H38,D1,E02,gBlocks,26.452,-0.022,STANDARD,30.495,100
H38,D2,E02,gBlocks,26.518,0.044,STANDARD,31.19,100
H38,D3,E02,gBlocks,26.572,0.098,STANDARD,30.738,100
H38,E1,E01,gBlocks,26.55,0.076,STANDARD,34.584,10
H38,E2,E01,gBlocks,26.518,0.044,STANDARD,33.78,10
H38,E3,E01,gBlocks,26.55,0.076,STANDARD,33.951,10
H38,F1,5,gBlocks,26.62,0.146,STANDARD,35.97,5
H38,F2,5,gBlocks,26.606,0.132,STANDARD,34.41,5
H38,F3,5,gBlocks,26.62,0.146,STANDARD,35.145,5
H38,G1,E00,gBlocks,26.608,0.134,STANDARD,Undetermined,1
H38,G2,E00,gBlocks,26.604,0.13,STANDARD,36.735,1
H38,G3,E00,gBlocks,26.601,0.127,STANDARD,Undetermined,1
H38,H1,E00,gBlocks,26.491,0.017,STANDARD,36.879,1
H38,H2,E00,gBlocks,26.679,0.205,STANDARD,36.717,1
H38,H3,E00,gBlocks,26.665,0.191,STANDARD,38.451,1
H39,A1,E05,gBlocks,28.373,1.87,STANDARD,21.574,100000
H39,A2,E05,gBlocks,28.751,2.248,STANDARD,21.401,100000
H39,A3,E05,gBlocks,29.088,2.585,STANDARD,21.687,100000
H39,B1,E04,gBlocks,26.46,-0.043,STANDARD,24.618,10000
H39,B2,E04,gBlocks,26.476,-0.027,STANDARD,24.664,10000
H39,B3,E04,gBlocks,26.438,-0.065,STANDARD,24.81,10000
H39,C1,E03,gBlocks,26.511,0.008,STANDARD,28.157,1000
H39,C2,E03,gBlocks,26.412,-0.091,STANDARD,27.962,1000
H39,C3,E03,gBlocks,26.568,0.065,STANDARD,28.468,1000
H39,D1,E02,gBlocks,26.624,0.121,STANDARD,30.787,100
H39,D2,E02,gBlocks,26.444,-0.059,STANDARD,30.958,100
H39,D3,E02,gBlocks,26.304,-0.199,STANDARD,30.797,100
H39,E1,E01,gBlocks,26.493,-0.01,STANDARD,34.529,10
H39,E2,E01,gBlocks,26.581,0.078,STANDARD,34.602,10
H39,E3,E01,gBlocks,26.66,0.157,STANDARD,34.719,10
H39,F1,5,gBlocks,26.502,-0.001,STANDARD,35.918,5
H39,F2,5,gBlocks,26.582,0.079,STANDARD,36.193,5
H39,F3,5,gBlocks,26.52,0.017,STANDARD,35.514,5
H39,G1,E00,gBlocks,26.472,-0.031,STANDARD,Undetermined,1
H39,G2,E00,gBlocks,26.602,0.099,STANDARD,Undetermined,1
H39,G3,E00,gBlocks,26.616,0.113,STANDARD,Undetermined,1
H39,H1,E00,gBlocks,26.621,0.118,STANDARD,36.977,1
H39,H2,E00,gBlocks,26.458,-0.045,STANDARD,Undetermined,1
H39,H3,E00,gBlocks,26.605,0.102,STANDARD,Undetermined,1